Unnamed: 0,vehicleKey,type,fuelType,engineSize,mass,time,castAluminium,wroughtAluminium,mildSteel,highStrengthSteel,castIron,magnesium,catalyst,EESystem,powerElectronics,BMS,tractionMotorInduction,tractionMotorPM
51,V00000001,unknown,unknown,unknown, <1000 kg,1987,0,0,0,0,0,0,86.0,0,0,0,0,0
52,V00000001,unknown,unknown,unknown, <1000 kg,1988,0,0,0,0,0,0,86.0,0,0,0,0,0
53,V00000001,unknown,unknown,unknown, <1000 kg,1989,0,0,0,0,0,0,86.0,0,0,0,0,0
54,V00000001,unknown,unknown,unknown, <1000 kg,1990,0,0,0,0,0,0,86.0,0,0,0,0,0
55,V00000001,unknown,unknown,unknown, <1000 kg,1991,0,0,0,0,0,0,86.0,0,0,0,0,0
56,V00000001,unknown,unknown,unknown, <1000 kg,1992,0,0,0,0,0,0,86.0,0,0,0,0,0
57,V00000001,unknown,unknown,unknown, <1000 kg,1993,0,0,0,0,0,0,86.0,0,0,0,0,0
58,V00000001,unknown,unknown,unknown, <1000 kg,1994,0,0,0,0,0,0,86.0,0,0,0,0,0
59,V00000001,unknown,unknown,unknown, <1000 kg,1995,0,0,0,0,0,0,86.0,0,0,0,0,0
60,V00000001,unknown,unknown,unknown, <1000 kg,1996,0,0,0,0,0,0,86.0,0,0,0,0,0
61,V00000001,unknown,unknown,unknown, <1000 kg,1997,0,0,0,0,0,0,86.0,0,0,0,0,0
62,V00000001,unknown,unknown,unknown, <1000 kg,1998,0,0,0,0,0,0,86.0,0,0,0,0,0
63,V00000001,unknown,unknown,unknown, <1000 kg,1999,0,0,0,0,0,0,86.0,0,0,0,0,0
64,V00000001,unknown,unknown,unknown, <1000 kg,2000,0,0,0,0,0,0,86.0,0,0,0,0,0
65,V00000001,unknown,unknown,unknown, <1000 kg,2001,0,0,0,0,0,0,86.0,0,0,0,0,0
66,V00000001,unknown,unknown,unknown, <1000 kg,2002,0,0,0,0,0,0,86.0,0,0,0,0,0
67,V00000001,unknown,unknown,unknown, <1000 kg,2003,0,0,0,0,0,0,86.0,0,0,0,0,0
68,V00000001,unknown,unknown,unknown, <1000 kg,2004,0,0,0,0,0,0,86.0,0,0,0,0,0
69,V00000001,unknown,unknown,unknown, <1000 kg,2005,0,0,0,0,0,0,86.0,0,0,0,0,0
70,V00000001,unknown,unknown,unknown, <1000 kg,2006,0,0,0,0,0,0,86.0,0,0,0,0,0
71,V00000001,unknown,unknown,unknown, <1000 kg,2007,0,0,0,0,0,0,86.0,0,0,0,0,0
72,V00000001,unknown,unknown,unknown, <1000 kg,2008,0,0,0,0,0,0,86.0,0,0,0,0,0
73,V00000001,unknown,unknown,unknown, <1000 kg,2009,0,0,0,0,0,0,86.0,0,0,0,0,0
74,V00000001,unknown,unknown,unknown, <1000 kg,2010,0,0,0,0,0,0,86.0,0,0,0,0,0
75,V00000001,unknown,unknown,unknown, <1000 kg,2011,0,0,0,0,0,0,86.0,0,0,0,0,0
76,V00000001,unknown,unknown,unknown, <1000 kg,2012,0,0,0,0,0,0,86.0,0,0,0,0,0
77,V00000001,unknown,unknown,unknown, <1000 kg,2013,0,0,0,0,0,0,86.0,0,0,0,0,0
78,V00000001,unknown,unknown,unknown, <1000 kg,2014,0,0,0,0,0,0,86.0,0,0,0,0,0
79,V00000001,unknown,unknown,unknown, <1000 kg,2015,0,0,0,0,0,0,86.0,0,0,0,0,0
80,V00000001,unknown,unknown,unknown, <1000 kg,2016,0,0,0,0,0,0,86.0,0,0,0,0,0
81,V00000001,unknown,unknown,unknown, <1000 kg,2017,0,0,0,0,0,0,86.0,0,0,0,0,0
82,V00000001,unknown,unknown,unknown, <1000 kg,2018,0,0,0,0,0,0,86.0,0,0,0,0,0
83,V00000001,unknown,unknown,unknown, <1000 kg,2019,0,0,0,0,0,0,86.0,0,0,0,0,0
84,V00000001,unknown,unknown,unknown, <1000 kg,2020,0,0,0,0,0,0,86.0,0,0,0,0,0
85,V00000001,unknown,unknown,unknown, <1000 kg,2021,0,0,0,0,0,0,86.0,0,0,0,0,0
86,V00000001,unknown,unknown,unknown, <1000 kg,2022,0,0,0,0,0,0,86.0,0,0,0,0,0
87,V00000001,unknown,unknown,unknown, <1000 kg,2023,0,0,0,0,0,0,86.0,0,0,0,0,0
88,V00000002,unknown,unknown,unknown, 1000-1249 kg,1980,0,0,0,0,0,0,86.0,0,0,0,0,0
